,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
25,37,admin.,married,4,1,yes,no,telephone,may,mon,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
26,35,technician,married,7,1,no,yes,telephone,may,mon,99,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
27,59,technician,married,7,1,yes,no,telephone,may,mon,93,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
28,39,self-employed,married,3,2,no,no,telephone,may,mon,233,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
29,54,technician,single,7,2,no,no,telephone,may,mon,255,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
30,55,unknown,married,7,2,unknown,unknown,telephone,may,mon,362,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
31,46,admin.,married,7,1,no,no,telephone,may,mon,348,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
32,59,technician,married,7,1,yes,no,telephone,may,mon,386,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
33,49,blue-collar,married,7,1,no,no,telephone,may,mon,73,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
34,54,management,married,1,2,yes,no,telephone,may,mon,230,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
35,54,blue-collar,divorced,1,1,no,no,telephone,may,mon,208,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
36,55,unknown,married,1,2,yes,no,telephone,may,mon,336,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
37,34,services,married,4,1,no,no,telephone,may,mon,365,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
39,41,admin.,married,7,1,yes,no,telephone,may,mon,577,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
40,56,technician,married,1,1,yes,no,telephone,may,mon,137,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
41,58,management,unknown,7,1,yes,no,telephone,may,mon,366,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
42,32,entrepreneur,married,4,1,yes,no,telephone,may,mon,314,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
43,38,admin.,single,6,1,no,no,telephone,may,mon,160,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
44,57,admin.,married,7,1,no,yes,telephone,may,mon,212,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
45,44,admin.,married,7,2,yes,no,telephone,may,mon,188,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
46,42,technician,single,6,2,no,no,telephone,may,mon,22,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
48,40,blue-collar,married,3,1,no,yes,telephone,may,mon,178,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
49,35,admin.,married,7,1,yes,no,telephone,may,mon,355,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
50,45,blue-collar,married,3,1,yes,no,telephone,may,mon,225,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
51,54,admin.,married,4,1,no,no,telephone,may,mon,160,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
52,39,housemaid,married,1,1,no,yes,telephone,may,mon,266,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
53,60,admin.,married,4,1,no,no,telephone,may,mon,253,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
54,53,admin.,single,6,1,no,no,telephone,may,mon,179,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
55,55,blue-collar,married,1,2,no,no,telephone,may,mon,269,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
56,55,technician,married,6,2,yes,no,telephone,may,mon,135,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
57,50,management,married,7,2,no,yes,telephone,may,mon,161,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
59,55,unemployed,married,6,2,yes,yes,telephone,may,mon,145,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
60,25,technician,single,7,1,yes,no,telephone,may,mon,174,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
61,47,entrepreneur,married,7,2,no,no,telephone,may,mon,449,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
63,42,blue-collar,married,2,2,yes,no,telephone,may,mon,164,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
64,42,blue-collar,married,2,2,no,no,telephone,may,mon,366,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
65,48,admin.,married,4,1,no,no,telephone,may,mon,357,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
66,37,admin.,married,7,1,no,no,telephone,may,mon,232,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
67,44,blue-collar,single,3,1,yes,no,telephone,may,mon,91,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
68,33,admin.,married,7,1,yes,no,telephone,may,mon,273,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
69,56,admin.,married,3,1,yes,no,telephone,may,mon,158,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
70,44,blue-collar,single,1,2,yes,yes,telephone,may,mon,177,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
71,41,management,married,2,1,no,no,telephone,may,mon,200,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
72,44,management,divorced,7,1,yes,no,telephone,may,mon,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
73,47,admin.,married,7,2,yes,no,telephone,may,mon,176,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
74,57,unknown,married,7,2,no,no,telephone,may,mon,211,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
75,37,admin.,married,7,2,yes,no,telephone,may,mon,214,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
77,55,technician,married,7,1,no,no,telephone,may,mon,349,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
78,33,services,married,4,2,yes,no,telephone,may,mon,337,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
79,55,management,married,7,2,yes,no,telephone,may,mon,272,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
80,42,blue-collar,married,3,2,no,no,telephone,may,mon,208,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
81,50,blue-collar,married,1,2,yes,no,telephone,may,mon,193,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
82,51,blue-collar,married,1,2,unknown,unknown,telephone,may,mon,212,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
83,38,admin.,married,4,2,no,no,telephone,may,mon,165,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
85,38,technician,single,7,1,no,yes,telephone,may,mon,20,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
86,31,admin.,divorced,4,1,no,no,telephone,may,mon,246,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
87,41,management,married,2,1,no,no,telephone,may,mon,529,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
88,39,admin.,married,7,1,yes,yes,telephone,may,mon,192,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
90,34,admin.,married,4,1,yes,no,telephone,may,mon,188,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
91,35,admin.,married,7,1,yes,no,telephone,may,mon,180,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
92,57,unknown,married,7,2,yes,no,telephone,may,mon,48,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
93,60,admin.,married,7,2,no,yes,telephone,may,mon,213,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
94,33,unemployed,married,3,1,no,no,telephone,may,mon,545,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
96,45,services,married,6,1,yes,no,telephone,may,mon,221,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
97,42,management,married,7,1,no,no,telephone,may,mon,426,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
98,53,admin.,divorced,7,2,no,no,telephone,may,mon,287,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
99,37,technician,single,6,1,no,no,telephone,may,mon,197,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
100,44,blue-collar,married,2,1,no,no,telephone,may,mon,257,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
101,54,services,married,7,1,yes,no,telephone,may,mon,229,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
102,49,blue-collar,married,1,1,no,no,telephone,may,mon,55,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
103,54,services,married,7,1,no,no,telephone,may,mon,400,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
104,52,admin.,divorced,7,1,no,no,telephone,may,mon,197,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
105,52,admin.,divorced,7,1,no,no,telephone,may,mon,190,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
106,43,services,single,4,2,no,no,telephone,may,mon,21,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
107,34,housemaid,married,2,1,yes,no,telephone,may,mon,300,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
108,35,admin.,married,4,1,yes,no,telephone,may,mon,123,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
109,42,entrepreneur,married,7,2,yes,no,telephone,may,mon,293,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
110,43,technician,married,7,2,yes,yes,telephone,may,mon,325,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
111,60,retired,divorced,7,2,no,no,telephone,may,mon,514,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
113,35,services,divorced,4,1,yes,no,telephone,may,mon,194,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
114,55,blue-collar,married,3,2,yes,no,telephone,may,mon,212,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
115,37,management,married,7,1,no,no,telephone,may,mon,337,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
116,36,blue-collar,married,4,1,no,no,telephone,may,mon,286,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
117,52,admin.,divorced,7,1,no,no,telephone,may,mon,247,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
118,57,blue-collar,divorced,7,2,yes,no,telephone,may,mon,518,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
119,56,admin.,married,7,1,yes,no,telephone,may,mon,364,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
120,48,blue-collar,divorced,1,2,yes,no,telephone,may,mon,178,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
121,40,blue-collar,married,4,2,yes,no,telephone,may,mon,98,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
122,49,blue-collar,divorced,4,1,no,no,telephone,may,mon,439,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
123,41,services,married,4,1,no,no,telephone,may,mon,139,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
124,45,technician,married,4,1,yes,no,telephone,may,mon,79,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
125,32,admin.,married,7,1,yes,yes,telephone,may,mon,175,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
126,42,admin.,married,7,1,no,yes,telephone,may,mon,262,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
127,50,admin.,married,2,1,no,no,telephone,may,mon,61,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
128,31,technician,divorced,6,1,yes,yes,telephone,may,mon,78,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
129,56,retired,married,1,1,yes,no,telephone,may,mon,102,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
130,41,technician,married,6,2,yes,no,telephone,may,mon,579,1,999,0,2,1.1,93.994,-36.4,4.857,5191,yes
131,37,blue-collar,married,2,1,yes,yes,telephone,may,mon,143,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
133,35,blue-collar,married,7,1,yes,no,telephone,may,mon,267,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
134,37,blue-collar,married,2,1,yes,no,telephone,may,mon,345,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
135,52,management,married,7,1,no,no,telephone,may,mon,185,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
136,39,management,divorced,7,1,no,no,telephone,may,mon,207,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
137,39,housemaid,married,1,2,no,no,telephone,may,mon,69,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
138,56,blue-collar,married,1,2,no,no,telephone,may,mon,100,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
139,34,services,married,4,1,yes,no,telephone,may,mon,125,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
140,45,blue-collar,married,3,2,yes,no,telephone,may,mon,461,1,999,0,2,1.1,93.994,-36.4,4.857,5191,yes
141,43,unemployed,single,7,1,yes,no,telephone,may,mon,240,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
142,56,management,married,7,1,yes,no,telephone,may,mon,70,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
143,39,management,married,7,1,yes,no,telephone,may,mon,193,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
144,53,blue-collar,married,1,1,yes,no,telephone,may,mon,136,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
145,38,unknown,divorced,4,2,yes,no,telephone,may,mon,73,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
146,42,blue-collar,married,1,2,yes,no,telephone,may,mon,528,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
147,42,blue-collar,married,1,2,no,no,telephone,may,mon,541,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
148,35,admin.,single,4,1,yes,no,telephone,may,mon,338,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
149,40,admin.,married,7,2,yes,no,telephone,may,mon,163,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
150,51,blue-collar,married,1,1,yes,no,telephone,may,mon,87,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
151,60,blue-collar,married,3,2,no,no,telephone,may,mon,301,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
152,56,entrepreneur,married,7,2,yes,no,telephone,may,mon,46,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
153,39,services,divorced,4,2,yes,no,telephone,may,mon,52,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
154,56,entrepreneur,married,7,2,no,no,telephone,may,mon,204,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
155,40,blue-collar,married,7,1,yes,yes,telephone,may,mon,155,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
156,36,blue-collar,married,3,1,yes,yes,telephone,may,mon,98,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
157,51,blue-collar,married,7,2,yes,no,telephone,may,mon,71,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
158,51,blue-collar,married,7,2,no,no,telephone,may,mon,243,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
159,43,technician,single,6,1,yes,no,telephone,may,mon,186,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
160,59,services,married,4,1,no,no,telephone,may,mon,579,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
161,24,management,single,7,1,yes,no,telephone,may,mon,165,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
162,37,blue-collar,single,3,2,yes,yes,telephone,may,mon,163,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
163,40,blue-collar,married,3,2,no,no,telephone,may,mon,46,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
164,42,blue-collar,married,3,2,no,no,telephone,may,mon,559,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
166,37,entrepreneur,married,2,1,no,no,telephone,may,mon,85,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
167,38,services,married,4,1,yes,yes,telephone,may,mon,506,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
168,56,admin.,divorced,7,2,no,no,telephone,may,mon,114,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
169,40,blue-collar,married,7,1,no,no,telephone,may,mon,114,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
171,43,blue-collar,married,4,2,no,yes,telephone,may,mon,181,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
172,36,services,married,4,2,no,no,telephone,may,mon,427,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
173,45,technician,married,7,1,yes,yes,telephone,may,mon,292,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
174,42,admin.,single,7,2,no,no,telephone,may,mon,192,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
175,43,services,married,4,1,no,no,telephone,may,mon,93,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
176,46,management,married,3,1,no,no,telephone,may,mon,128,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
177,44,services,married,4,1,yes,yes,telephone,may,mon,107,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
178,51,admin.,single,2,1,no,no,telephone,may,mon,303,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
179,28,services,married,4,1,yes,no,telephone,may,mon,81,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
180,37,blue-collar,married,3,1,no,no,telephone,may,mon,270,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
181,34,technician,married,4,1,no,no,telephone,may,mon,228,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
182,46,blue-collar,married,2,2,yes,no,telephone,may,mon,240,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
184,36,admin.,married,7,1,yes,no,telephone,may,mon,233,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
185,54,blue-collar,married,1,2,no,no,telephone,may,mon,102,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
186,57,management,married,7,1,no,no,telephone,may,mon,461,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
187,51,technician,married,2,2,no,no,telephone,may,mon,250,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
188,54,retired,married,4,2,no,no,telephone,may,mon,130,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
189,49,blue-collar,married,1,2,no,no,telephone,may,mon,252,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
190,34,admin.,married,7,1,yes,no,telephone,may,mon,138,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
191,41,technician,married,6,1,no,no,telephone,may,mon,412,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
192,38,blue-collar,single,3,1,yes,no,telephone,may,mon,179,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
193,45,management,divorced,7,1,no,no,telephone,may,mon,19,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
194,42,technician,married,7,1,no,no,telephone,may,mon,228,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
195,34,blue-collar,single,3,2,yes,no,telephone,may,mon,55,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
197,37,admin.,married,4,2,yes,no,telephone,may,mon,313,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
198,34,blue-collar,single,3,2,no,no,telephone,may,mon,289,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
201,33,services,married,4,1,no,no,telephone,may,mon,146,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
202,32,services,single,2,1,no,no,telephone,may,mon,167,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
203,39,blue-collar,married,4,1,yes,no,telephone,may,mon,356,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
204,43,admin.,married,7,1,no,no,telephone,may,mon,277,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
205,44,blue-collar,married,3,1,yes,no,telephone,may,mon,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
206,35,student,single,7,2,no,no,telephone,may,mon,218,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
207,35,student,single,7,2,yes,yes,telephone,may,mon,217,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
208,35,unemployed,married,6,1,no,no,telephone,may,mon,67,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
209,36,services,single,1,1,no,no,telephone,may,mon,291,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
210,35,student,single,7,2,yes,no,telephone,may,mon,248,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
211,36,student,single,3,1,yes,no,telephone,may,mon,256,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
212,55,housemaid,divorced,7,1,no,no,telephone,may,mon,286,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
213,59,admin.,married,7,1,no,no,telephone,may,mon,477,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
215,39,blue-collar,married,6,2,yes,no,telephone,may,mon,471,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
216,39,housemaid,married,1,2,yes,no,telephone,may,mon,381,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
217,30,blue-collar,single,7,1,yes,no,telephone,may,mon,251,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
218,30,blue-collar,single,7,1,yes,yes,telephone,may,mon,408,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
219,50,housemaid,married,1,2,no,no,telephone,may,mon,287,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
220,40,services,married,4,1,no,no,telephone,may,mon,322,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
221,35,admin.,married,4,1,yes,no,telephone,may,mon,216,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
222,43,technician,married,7,2,no,no,telephone,may,mon,366,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
223,36,services,single,2,2,yes,no,telephone,may,mon,210,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
224,46,technician,married,1,2,yes,no,telephone,may,mon,288,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
225,40,technician,married,3,1,no,no,telephone,may,mon,168,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
226,58,retired,married,7,1,no,no,telephone,may,mon,132,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
227,42,technician,married,7,1,no,no,telephone,may,mon,64,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
228,35,admin.,single,7,1,no,no,telephone,may,mon,209,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
229,43,retired,married,1,2,no,no,telephone,may,mon,410,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
230,45,blue-collar,married,1,1,yes,yes,telephone,may,mon,177,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
232,50,services,divorced,6,1,yes,no,telephone,may,mon,165,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
233,32,management,divorced,1,2,yes,no,telephone,may,mon,127,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
234,39,admin.,married,4,2,no,no,telephone,may,mon,357,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
235,52,self-employed,married,7,2,no,no,telephone,may,mon,175,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
236,44,admin.,married,6,1,yes,no,telephone,may,mon,300,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
237,56,blue-collar,married,1,1,no,no,telephone,may,mon,136,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
238,48,admin.,married,4,1,no,no,telephone,may,mon,125,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
239,33,services,married,4,2,no,yes,telephone,may,mon,189,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
240,43,management,married,7,2,no,yes,telephone,may,mon,213,3,999,0,2,1.1,93.994,-36.4,4.857,5191,no
241,57,retired,married,4,1,no,no,telephone,may,mon,238,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
242,36,technician,single,6,1,no,no,telephone,may,mon,124,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
243,34,management,married,7,1,yes,no,telephone,may,mon,18,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
245,30,technician,married,7,2,no,no,telephone,may,mon,40,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
246,33,services,divorced,7,1,no,no,telephone,may,mon,181,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
247,32,technician,single,6,1,no,no,telephone,may,mon,79,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
248,36,technician,single,4,1,yes,no,telephone,may,mon,142,2,999,0,2,1.1,93.994,-36.4,4.857,5191,no
249,36,blue-collar,single,4,1,no,yes,telephone,may,mon,389,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
